game_type,num1,num2,operation,answer,option1,option2,option3,option4,difficulty,hint,know_more,image_url
fraction-frenzy,1,8,identify,1/8,1/8,1/6,1/4,2/8,Medium,Count the sections,One part out of eight.,dynamic:fraction:1:8
fraction-frenzy,3,8,identify,3/8,3/8,2/8,4/8,5/8,Medium,Count shaded parts,Three parts out of eight.,dynamic:fraction:3:8
fraction-frenzy,5,8,identify,5/8,5/8,4/8,6/8,3/8,Medium,Count shaded parts,Five parts out of eight.,dynamic:fraction:5:8
fraction-frenzy,7,8,identify,7/8,7/8,6/8,5/8,8/8,Medium,Almost full!,Seven parts out of eight.,dynamic:fraction:7:8
fraction-frenzy,1,2,add,3/4,3/4,1/2,1/4,1,Hard,1/2 + 1/4 = ?,Visual addition: Half pie + Quarter pie.,dynamic:add:1:2:1:4
fraction-frenzy,1,4,add,2/4,2/4,1/4,3/4,1,Hard,1/4 + 1/4 = ?,Quarter + Quarter = Half.,dynamic:add:1:4:1:4
fraction-frenzy,1,3,add,2/3,2/3,1/3,1,1/6,Hard,1/3 + 1/3 = ?,Two thirds.,dynamic:add:1:3:1:3
geometry-galaxy,square,identify,Square,Square,Circle,Triangle,Star,Easy,Identify the shape,It has 4 equal sides.,dynamic:shape:square
geometry-galaxy,circle,identify,Circle,Circle,Oval,Square,Rectangle,Easy,Identify the shape,It is round.,dynamic:shape:circle
geometry-galaxy,triangle,identify,Triangle,Triangle,Square,Pentagon,Hexagon,Easy,Identify the shape,It has 3 sides.,dynamic:shape:triangle
geometry-galaxy,rectangle,identify,Rectangle,Rectangle,Square,Trapezoid,Rhombus,Easy,Identify the shape,Two long sides, two short sides.,dynamic:shape:rectangle
geometry-galaxy,pentagon,identify,Pentagon,Pentagon,Hexagon,Octagon,Square,Medium,Count the sides,It has 5 sides.,dynamic:shape:pentagon
geometry-galaxy,hexagon,identify,Hexagon,Hexagon,Pentagon,Octagon,Septagon,Medium,Count the sides,It has 6 sides.,dynamic:shape:hexagon
geometry-galaxy,octagon,identify,Octagon,Octagon,Hexagon,Decagon,Square,Medium,Count the sides,It has 8 sides.,dynamic:shape:octagon
geometry-galaxy,star,identify,Star,Star,Circle,Square,Triangle,Easy,Identify the shape,Twinkle twinkle!,dynamic:shape:star
geometry-galaxy,rhombus,identify,Rhombus,Rhombus,Square,Rectangle,Trapezoid,Medium,Identify the shape,Like a diamond.,dynamic:shape:rhombus
geometry-galaxy,trapezoid,identify,Trapezoid,Trapezoid,Rectangle,Rhombus,Square,Medium,Identify the shape,A table shape.,dynamic:shape:trapezoid
fraction-frenzy,1,10,identify,1/10,1/10,1/5,1/20,2/10,Hard,Count carefully,One part out of ten.,dynamic:fraction:1:10
fraction-frenzy,3,10,identify,3/10,3/10,2/10,4/10,5/10,Hard,Count shaded parts,Three parts out of ten.,dynamic:fraction:3:10
fraction-frenzy,7,10,identify,7/10,7/10,6/10,8/10,9/10,Hard,Count shaded parts,Seven parts out of ten.,dynamic:fraction:7:10
fraction-frenzy,9,10,identify,9/10,9/10,8/10,7/10,1,Hard,Almost full!,Nine parts out of ten.,dynamic:fraction:9:10
fraction-frenzy,1,3,compare,>,>,<,=,?,Hard,2/3 vs 1/3,2/3 is bigger than 1/3.,dynamic:compare:2:3:1:3
fraction-frenzy,1,4,compare,<,<,>,=,?,Hard,1/4 vs 3/4,1/4 is smaller than 3/4.,dynamic:compare:1:4:3:4
geometry-galaxy,semicircle,identify,Semicircle,Semicircle,Circle,Oval,Crescent,Medium,Identify the shape,Half a circle.,dynamic:shape:semicircle
geometry-galaxy,oval,identify,Oval,Oval,Circle,Semicircle,Sphere,Easy,Identify the shape,Egg shape.,dynamic:shape:oval
geometry-galaxy,heart,identify,Heart,Heart,Star,Circle,Square,Easy,Identify the shape,Love shape.,dynamic:shape:heart
geometry-galaxy,arrow,identify,Arrow,Arrow,Line,Triangle,Square,Easy,Identify the shape,Points a direction.,dynamic:shape:arrow
geometry-galaxy,cross,identify,Cross,Cross,Plus,Star,Square,Easy,Identify the shape,Like a plus sign.,dynamic:shape:cross
geometry-galaxy,cube,identify,Cube,Cube,Square,Box,Rectangle,Hard,3D Shape,Like a dice.,dynamic:shape:cube
geometry-galaxy,sphere,identify,Sphere,Sphere,Circle,Ball,Oval,Hard,3D Shape,Like a ball.,dynamic:shape:sphere
